"activity_idx","activity_name","step_index","step_description"
"1","Microwave Egg Sandwich","3","Coat -Coat a 6-oz. ramekin cup with cooking spray"
"1","Microwave Egg Sandwich","1","Pour-Pour 1 egg into the ramekin cup"
"1","Microwave Egg Sandwich","4","Microwave-Microwave the ramekin cup uncovered on high for 30 seconds"
"1","Microwave Egg Sandwich","12","Cut -Cut the English muffin into two pieces with a knife"
"1","Microwave Egg Sandwich","11","stir-stir the ramekin cup"
"1","Microwave Egg Sandwich","8","Microwave -Continue to Microwave for 15-30 more seconds or until the egg is almost set"
"1","Microwave Egg Sandwich","6","Top -Top cup with 1 tablespoon of salsa"
"1","Microwave Egg Sandwich","5","sprinkle -sprinkle 1 tablespoon of cheese on cup"
"1","Microwave Egg Sandwich","10","Microwave -Microwave just until cheese melts, about 10 seconds"
"1","Microwave Egg Sandwich","9","Line -Line the bottom piece of the English muffin with lettuce"
"1","Microwave Egg Sandwich","2","Place -Place the egg from the cup over the lettuce"
"1","Microwave Egg Sandwich","7","replace -replace the top of the English muffin"
"1","Microwave Egg Sandwich","3","Coat -Coat a 6-oz. ramekin cup with cooking spray"
"1","Microwave Egg Sandwich","1","Pour-Pour 1 egg into the ramekin cup"
"1","Microwave Egg Sandwich","4","Microwave-Microwave the ramekin cup uncovered on high for 30 seconds"
"1","Microwave Egg Sandwich","11","stir-stir the ramekin cup"
"1","Microwave Egg Sandwich","8","Microwave -Continue to Microwave for 15-30 more seconds or until the egg is almost set"
"1","Microwave Egg Sandwich","6","Top -Top cup with 1 tablespoon of salsa"
"1","Microwave Egg Sandwich","12","Cut -Cut the English muffin into two pieces with a knife"
"1","Microwave Egg Sandwich","5","sprinkle -sprinkle 1 tablespoon of cheese on cup"
"1","Microwave Egg Sandwich","10","Microwave -Microwave just until cheese melts, about 10 seconds"
"1","Microwave Egg Sandwich","9","Line -Line the bottom piece of the English muffin with lettuce"
"1","Microwave Egg Sandwich","2","Place -Place the egg from the cup over the lettuce"
"1","Microwave Egg Sandwich","7","replace -replace the top of the English muffin"
"1","Microwave Egg Sandwich","12","Cut -Cut the English muffin into two pieces with a knife"
"1","Microwave Egg Sandwich","3","Coat -Coat a 6-oz. ramekin cup with cooking spray"
"1","Microwave Egg Sandwich","1","Pour-Pour 1 egg into the ramekin cup"
"1","Microwave Egg Sandwich","4","Microwave-Microwave the ramekin cup uncovered on high for 30 seconds"
"1","Microwave Egg Sandwich","11","stir-stir the ramekin cup"
"1","Microwave Egg Sandwich","8","Microwave -Continue to Microwave for 15-30 more seconds or until the egg is almost set"
"1","Microwave Egg Sandwich","6","Top -Top cup with 1 tablespoon of salsa"
"1","Microwave Egg Sandwich","9","Line -Line the bottom piece of the English muffin with lettuce"
"1","Microwave Egg Sandwich","5","sprinkle -sprinkle 1 tablespoon of cheese on cup"
"1","Microwave Egg Sandwich","10","Microwave -Microwave just until cheese melts, about 10 seconds"
"1","Microwave Egg Sandwich","2","Place -Place the egg from the cup over the lettuce"
"1","Microwave Egg Sandwich","7","replace -replace the top of the English muffin"
"1","Microwave Egg Sandwich","3","Coat -Coat a 6-oz. ramekin cup with cooking spray"
"1","Microwave Egg Sandwich","1","Pour-Pour 1 egg into the ramekin cup"
"1","Microwave Egg Sandwich","4","Microwave-Microwave the ramekin cup uncovered on high for 30 seconds"
"1","Microwave Egg Sandwich","12","Cut -Cut the English muffin into two pieces with a knife"
"1","Microwave Egg Sandwich","9","Line -Line the bottom piece of the English muffin with lettuce"
"1","Microwave Egg Sandwich","11","stir-stir the ramekin cup"
"1","Microwave Egg Sandwich","8","Microwave -Continue to Microwave for 15-30 more seconds or until the egg is almost set"
"1","Microwave Egg Sandwich","6","Top -Top cup with 1 tablespoon of salsa"
"1","Microwave Egg Sandwich","5","sprinkle -sprinkle 1 tablespoon of cheese on cup"
"1","Microwave Egg Sandwich","10","Microwave -Microwave just until cheese melts, about 10 seconds"
"1","Microwave Egg Sandwich","2","Place -Place the egg from the cup over the lettuce"
"1","Microwave Egg Sandwich","7","replace -replace the top of the English muffin"
"1","Microwave Egg Sandwich","12","Cut -Cut the English muffin into two pieces with a knife"
"1","Microwave Egg Sandwich","3","Coat -Coat a 6-oz. ramekin cup with cooking spray"
"1","Microwave Egg Sandwich","1","Pour-Pour 1 egg into the ramekin cup"
"1","Microwave Egg Sandwich","4","Microwave-Microwave the ramekin cup uncovered on high for 30 seconds"
"1","Microwave Egg Sandwich","9","Line -Line the bottom piece of the English muffin with lettuce"
"1","Microwave Egg Sandwich","11","stir-stir the ramekin cup"
"1","Microwave Egg Sandwich","8","Microwave -Continue to Microwave for 15-30 more seconds or until the egg is almost set"
"1","Microwave Egg Sandwich","6","Top -Top cup with 1 tablespoon of salsa"
"1","Microwave Egg Sandwich","5","sprinkle -sprinkle 1 tablespoon of cheese on cup"
"1","Microwave Egg Sandwich","10","Microwave -Microwave just until cheese melts, about 10 seconds"
"1","Microwave Egg Sandwich","2","Place -Place the egg from the cup over the lettuce"
"1","Microwave Egg Sandwich","7","replace -replace the top of the English muffin"
"1","Microwave Egg Sandwich","3","Coat -Coat a 6-oz. ramekin cup with cooking spray"
"1","Microwave Egg Sandwich","1","Pour-Pour 1 egg into the ramekin cup"
"1","Microwave Egg Sandwich","4","Microwave-Microwave the ramekin cup uncovered on high for 30 seconds"
