"activity_id","activity_name","average_segment_length"
"1","Microwave Egg Sandwich","44.965380046582794"
"2","Dressed Up Meatballs","67.97136912589151"
"3","Microwave Mug Pizza","40.50214016256435"
"4","Ramen","39.44753424945708"
"5","Coffee","52.3711078634185"
"7","Breakfast Burritos","51.795369371960824"
"8","Spiced Hot Chocolate","60.09654202663701"
"9","Microwave French Toast","52.8755955537049"
"10","Pinwheels","24.009790576312977"
"12","Tomato Mozzarella Salad","21.319588172194077"
"13","Butter Corn Cup","48.55222676073647"
"15","Tomato Chutney","62.295234802266485"
"16","Scrambled Eggs","52.623681824650276"
"17","Cucumber Raita","58.86622896352556"
"18","Zoodles","65.44898472719586"
"20","Sauted Mushrooms","74.68043071836162"
"21","Blender Banana Pancakes","48.88797923992791"
"22","Herb Omelet with Fried Tomatoes","49.849607173282436"
"23","Broccoli Stir Fry","62.403160023856096"
"25","Pan Fried Tofu","52.759337816622484"
"26","Mug Cake","47.383473854309884"
"27","Cheese Pimiento","54.540675254027185"
"28","Spicy Tuna Avocado Wraps","52.42426513894933"
"29","Caprese Bruschetta","76.93263443614958"
"
=============================================================================
"
"Average","52.62509741177439","5411"
"
=============================================================================
"
