"recording_id","activity_id","step_indices"
"1_7","1","3,1,4,12,11,8,6,5,10,9,2,7"
"2_3","2","21,14,23,17,16,26,27,22,19,24,15,20,18,20,18,25"
"2_4","2","21,14,16,17,22,26,23,27,19,24,15,20,18,20,18,25"
"2_5","2","14,16,26,23,17,21,27,22,19,24,15,20,18,20,18,25"
"2_8","2","14,16,17,27,23,26,22,21,19,24,15,20,18,20,18,25"
"3_2","3","36,35,28,40,33,38,41,34,37,30,31,39,29,32"
"3_5","3","36,40,35,28,33,38,41,34,37,30,31,39,29,32"
"4_2","4","14,51,44,47,46,54,52,55,49,45,50,48,53,42,43"
"4_3","4","47,14,44,51,46,54,52,55,49,45,48,53,50,42,43"
"4_5","4","47,44,46,14,51,54,52,55,49,45,50,53,48,42,43"
"4_7","4","47,14,46,51,54,44,52,55,49,45,53,48,50,42,43"
"4_9","4","47,14,46,44,51,54,52,55,49,45,53,48,50,42,43"
"5_2","5","68,69,65,67,62,70,60,64,59,71,58,57,56,61,66,63"
"5_3","5","68,69,70,62,60,59,64,65,67,71,58,57,56,61,66,63"
"5_4","5","62,68,65,67,69,60,59,70,58,64,71,57,56,61,66,63"
"7_1","7","77,72,81,73,74,82,80,76,79,75,78"
"7_2","7","77,72,73,81,74,80,82,76,79,75,78"
"7_3","7","77,72,73,82,80,74,81,76,79,75,78"
"7_5","7","77,72,73,74,82,81,80,76,79,75,78"
"8_3","8","88,89,90,84,87,85,83"
"9_2","9","99,94,98,101,95,100,93,92,91,97,96"
"9_4","9","94,99,98,101,95,100,93,92,91,97,96"
"9_8","9","94,98,101,100,95,93,99,92,91,97,96"
"10_6","10","115,113,112,118,111,107,104,116,110,114,103,106,117,105,108,102,102,102,109"
"10_7","10","115,113,112,118,111,107,104,116,110,114,103,106,117,105,108,102,102,102,109"
"1_10","1","3,1,4,11,8,6,12,5,10,9,2,7"
"1_14","1","12,3,1,4,11,8,6,9,5,10,2,7"
"1_19","1","3,1,4,12,9,11,8,6,5,10,2,7"
"1_20","1","12,3,1,4,9,11,8,6,5,10,2,7"
"12_2","12","125,122,119,120,124,123,126,127,121"
"1_25","1","3,1,4,11,8,12,9,6,5,10,2,7"
"12_5","12","125,122,119,120,124,127,126,123,121"
"12_6","12","125,122,119,120,124,127,123,126,121"
"1_28","1","12,3,1,11,8,6,5,9,10,2,7,4"
"12_9","12","125,122,119,120,127,123,124,126,121"
"1_30","1","1,12,4,9,11,6,5,10,2,7,3,8"
"1_32","1","1,12,4,11,8,6,5,10,9,2,7,3"
"1_33","1","3,1,12,4,11,8,9,5,10,7,6,2"
"1_34","1","1,12,4,11,8,9,6,5,10,2,7,3"
"13_5","13","129,137,132,133,138,130,135,134,131,136,128,76"
