recording_id,environment_id,person_id,duration(min)
10_16,2,5,16.23
10_18,1,2,10.34
10_24,11,5,11.49
10_26,6,2,6.99
10_31,2,8,6.74
10_42,5,8,12.48
10_46,5,4,11.82
10_47,7,4,7.71
10_48,1,5,10.83
10_50,5,2,4.19
10_6,7,8,5.47
10_7,6,8,10.62
12_10,2,3,6.56
12_119,11,5,7.37
12_12,1,5,8.91
12_13,5,4,8.76
12_15,2,2,7.71
12_16,6,3,5.59
12_17,6,2,4.12
12_19,6,3,6.28
12_2,1,4,7.14
12_26,1,2,5.49
12_38,5,5,5.97
12_41,7,5,7.84
12_43,5,8,3.34
12_48,2,8,5.01
12_5,5,2,7.95
12_51,7,8,3.99
12_6,2,3,6.42
12_9,5,3,7.53
13_12,2,2,8.69
13_14,2,8,13.81
13_18,1,5,23.0
13_20,1,3,16.31
13_24,6,2,10.66
13_31,1,8,7.85
13_32,6,8,8.05
13_36,11,5,11.98
13_38,5,8,13.6
13_41,7,4,15.24
13_44,6,4,12.77
13_45,1,2,12.14
13_5,2,5,21.68
13_9,5,2,12.28
15_17,1,4,18.25
15_18,7,4,28.76
15_19,1,3,27.15
15_2,6,8,25.64
15_28,2,5,14.86
15_29,2,2,21.55
15_30,6,4,10.67
15_33,1,8,10.79
15_37,2,4,10.88
15_39,11,5,13.91
15_4,2,8,20.72
15_41,5,4,18.21
15_46,7,1,19.86
15_5,5,5,41.17
15_8,5,3,38.83
16_1,5,7,18.01
16_10,10,6,19.74
16_110,10,6,2.53
16_17,8,4,28.96
16_18,2,6,23.55
16_2,5,6,20.4
16_20,8,1,32.18
16_23,2,7,21.51
16_26,6,7,16.27
16_27,9,7,13.76
16_28,1,7,18.28
16_3,8,3,41.14
16_35,1,1,21.19
16_39,7,6,11.76
16_40,1,3,27.88
16_42,2,1,15.84
16_44,1,6,18.58
17_10,6,4,14.63
17_11,2,3,12.73
17_14,7,8,10.41
17_15,6,2,15.7
17_16,11,5,16.18
17_19,2,2,16.43
17_2,7,8,10.74
17_20,5,5,11.67
17_21,5,2,13.29
17_23,6,8,16.04
17_28,8,3,6.78
17_29,7,5,12.27
17_3,1,2,14.26
17_36,8,4,7.14
17_37,1,5,12.14
17_40,7,4,10.2
17_43,3,1,8.85
17_45,2,4,12.91
17_49,1,4,11.4
17_5,5,8,14.95
17_8,2,5,19.49
18_101,6,8,13.82
18_11,2,4,13.09
18_12,3,3,17.29
18_19,2,4,14.73
18_2,2,8,11.23
18_24,2,3,17.89
18_27,5,1,10.94
18_28,2,1,11.72
18_3,1,1,11.97
18_31,5,4,7.37
18_33,6,4,11.08
18_41,6,3,10.06
18_45,11,5,16.84
18_49,2,5,25.37
18_8,3,1,18.45
1_10,1,6,7.88
1_136,1,3,13.21
1_14,5,1,11.82
1_143,1,7,10.7
1_19,7,1,11.57
1_20,2,1,11.35
1_25,7,6,10.16
1_28,1,1,7.46
1_30,5,6,7.82
1_32,9,7,6.04
1_33,6,1,10.61
1_34,10,6,5.72
1_36,1,3,8.4
1_37,2,6,10.19
1_42,5,7,6.4
1_43,1,7,7.36
1_49,6,7,6.39
1_7,8,3,10.05
20_14,5,5,33.71
20_16,2,4,27.08
20_17,7,5,31.62
20_19,2,8,22.31
20_22,1,2,17.75
20_25,7,8,19.56
20_26,1,4,18.2
20_29,5,4,20.46
20_32,5,8,19.76
20_39,6,3,10.33
20_44,6,2,10.37
20_47,2,3,19.45
20_48,2,2,14.25
20_9,5,3,31.1
21_103,1,1,15.47
21_11,5,1,18.54
21_14,2,7,9.27
21_15,5,7,10.1
21_17,10,6,15.95
21_19,7,1,19.29
21_24,9,7,13.28
21_25,1,7,14.13
21_28,6,3,11.24
21_29,6,7,9.58
21_3,1,1,13.69
21_32,6,3,9.65
21_37,5,6,18.15
21_43,6,1,12.82
21_44,5,3,15.88
21_46,2,6,12.57
21_47,2,1,12.52
21_50,1,6,13.91
21_8,1,3,15.78
22_10,1,1,18.98
22_13,5,6,13.63
22_137,6,3,11.7
22_2,2,3,16.86
22_21,2,6,11.85
22_24,5,1,32.87
22_26,1,6,9.57
22_30,10,6,7.85
22_31,6,3,11.95
22_32,6,1,10.21
22_37,6,3,9.34
22_38,1,7,13.44
22_4,7,1,22.15
22_40,5,7,7.56
22_41,7,6,8.48
22_6,6,7,13.46
22_8,9,7,9.72
23_1,5,4,39.26
23_12,7,1,31.96
23_16,7,6,21.93
23_17,5,2,27.66
23_18,6,1,32.67
23_19,5,8,30.05
23_23,1,8,27.77
23_24,2,3,29.92
23_26,6,8,22.93
23_32,2,1,20.14
23_38,3,1,17.77
23_39,1,3,26.05
23_41,8,4,13.99
23_5,7,4,30.38
23_6,7,5,36.49
23_9,11,5,36.43
25_1,6,4,29.35
25_109,7,5,35.45
25_11,2,4,22.09
25_13,1,1,20.58
25_2,2,1,18.69
25_22,5,4,23.68
25_3,1,8,22.27
25_4,6,8,28.53
25_40,2,2,14.62
25_41,7,1,16.93
25_42,6,1,19.8
25_48,5,2,12.79
25_5,7,4,23.03
25_6,5,1,35.71
25_9,6,2,17.64
26_136,6,2,11.41
26_17,5,5,26.81
26_18,7,4,15.24
26_19,7,5,22.47
26_20,8,4,17.71
26_22,3,3,22.07
26_24,6,1,21.03
26_29,5,2,11.93
26_30,2,5,14.58
26_34,6,4,13.94
26_36,7,6,11.38
26_37,11,5,13.38
26_39,7,8,11.72
26_4,7,4,16.18
26_42,6,8,13.9
26_46,7,1,13.04
26_6,8,3,17.49
26_7,3,1,23.53
27_13,7,5,19.18
27_15,2,2,11.1
27_17,1,4,15.39
27_18,6,3,14.86
27_26,6,8,12.21
27_29,1,5,13.1
27_3,5,8,11.74
27_31,7,4,12.24
27_34,1,2,10.5
27_37,5,2,8.68
27_38,6,4,9.73
27_4,6,2,10.75
27_45,2,5,16.97
27_49,7,8,8.88
27_9,2,4,16.84
28_10,1,6,18.54
28_14,5,3,18.27
28_16,3,3,18.13
28_2,10,6,14.76
28_21,9,7,15.83
28_24,6,7,17.84
28_25,2,1,17.47
28_26,5,1,13.46
28_28,1,7,13.03
28_29,5,7,9.69
28_3,7,6,16.93
28_38,6,3,11.32
28_42,1,1,17.24
28_44,2,7,13.57
28_45,2,6,13.98
28_49,2,3,19.15
28_50,1,3,12.69
28_7,5,6,18.23
29_129,7,1,15.42
29_15,3,3,16.57
29_17,8,4,18.25
29_18,1,2,14.3
29_19,8,3,17.48
29_22,3,1,21.51
29_28,6,2,11.42
29_29,7,8,10.85
29_32,5,5,15.34
29_34,6,4,11.11
29_35,7,5,10.68
29_37,7,6,12.15
29_45,1,5,17.59
29_48,2,8,9.62
29_49,2,4,12.94
29_5,5,8,18.04
29_6,2,5,21.34
29_7,5,4,23.36
2_13,1,6,22.09
2_17,3,3,21.53
2_19,2,7,18.4
2_22,5,6,17.24
2_26,1,3,21.1
2_28,5,3,18.29
2_3,1,7,27.77
2_30,10,6,9.86
2_38,2,3,22.1
2_4,5,7,16.27
2_41,2,1,20.92
2_42,2,6,20.62
2_46,7,6,11.2
2_47,9,7,17.75
2_5,6,7,16.56
2_8,6,1,22.59
3_11,1,8,10.03
3_12,7,8,11.0
3_13,6,8,14.72
3_14,2,2,10.07
3_18,6,4,15.91
3_2,5,2,10.96
3_22,1,4,16.53
3_34,7,4,9.7
3_36,5,4,15.77
3_46,2,4,11.57
3_49,2,5,13.0
3_5,2,8,9.71
3_50,6,2,7.53
4_120,10,6,2.25
4_122,6,3,18.34
4_17,5,7,12.69
4_2,2,6,12.91
4_20,10,6,12.16
4_22,1,3,14.84
4_24,2,1,20.08
4_3,6,7,13.4
4_30,1,1,13.05
4_32,6,1,12.66
4_35,1,6,9.21
4_36,2,3,17.41
4_40,2,7,10.87
4_43,7,1,13.5
4_44,5,6,10.14
4_5,9,7,11.19
4_7,2,6,14.85
4_9,1,7,13.63
5_11,7,8,14.64
5_15,6,3,14.61
5_18,11,5,23.21
5_19,7,4,13.74
5_2,10,6,13.66
5_22,7,6,15.64
5_24,5,8,14.52
5_27,5,5,19.16
5_28,9,7,6.0
5_3,5,7,9.33
5_35,5,6,13.96
5_37,1,7,12.84
5_4,6,4,13.8
5_42,5,3,11.24
5_44,7,5,17.01
7_1,2,7,9.02
7_135,1,1,15.48
7_18,6,7,10.1
7_19,6,1,13.69
7_2,8,4,16.68
7_24,5,3,12.83
7_26,9,7,6.33
7_3,8,1,12.96
7_30,10,6,6.49
7_32,5,7,5.86
7_35,1,1,6.12
7_38,1,6,7.7
7_44,5,6,8.26
7_48,2,6,10.05
7_5,1,7,9.9
7_50,2,3,11.46
8_11,6,3,7.12
8_15,2,4,8.58
8_16,6,4,7.71
8_19,5,4,9.03
8_20,2,5,9.78
8_25,3,3,7.38
8_26,5,8,7.51
8_3,2,4,7.03
8_30,5,5,6.26
8_31,7,5,4.45
8_33,11,5,4.91
8_35,5,3,7.18
8_40,5,2,6.63
8_44,1,4,5.79
8_45,2,8,6.27
8_50,7,8,4.39
9_108,2,7,10.02
9_12,2,6,11.08
9_13,1,6,9.39
9_15,6,1,14.19
9_19,2,1,13.91
9_2,5,6,12.64
9_22,7,1,14.29
9_24,7,6,12.19
9_25,1,3,14.22
9_36,5,7,6.62
9_4,5,1,14.77
9_45,10,6,5.26
9_47,6,7,8.37
9_8,9,7,9.28
