recording_id,environment_id,person_id,duration(min),duration(sec)
10_16,2,5,16.23,973.64
10_18,1,2,10.34,620.25
10_24,11,5,11.49,689.19
10_26,6,2,6.99,419.19
10_31,2,8,6.74,404.47
10_42,5,8,12.48,748.81
10_46,5,4,11.82,709.24
10_47,7,4,7.71,462.53
10_48,1,5,10.83,649.75
10_50,5,2,4.19,252.92
10_6,7,8,5.47,328.36
10_7,6,8,10.62,636.9
12_10,2,3,6.56,393.56
12_119,11,5,7.37,441.94
12_12,1,5,8.91,534.43
12_13,5,4,8.76,525.69
12_15,2,2,7.71,462.73
12_16,6,3,5.59,335.64
12_17,6,2,4.12,247.15
12_19,6,3,6.28,379.38
12_2,1,4,7.14,428.66
12_26,1,2,5.49,329.2
12_38,5,5,5.97,358.09
12_41,7,5,7.84,470.67
12_43,5,8,3.34,200.37
12_48,2,8,5.01,300.57
12_5,5,2,7.95,477.14
12_51,7,8,3.99,239.54
12_6,2,3,6.42,385.43
12_9,5,3,7.53,451.52
13_12,2,2,8.69,521.59
13_14,2,8,13.81,828.66
13_18,1,5,23.0,1380.05
13_20,1,3,16.31,978.81
13_24,6,2,10.66,639.61
13_31,1,8,7.85,471.0
13_32,6,8,8.05,483.15
13_36,11,5,11.98,718.85
13_38,5,8,13.6,816.22
13_41,7,4,15.24,914.61
13_44,6,4,12.77,766.03
13_45,1,2,12.14,728.19
13_5,2,5,21.68,1300.87
13_9,5,2,12.28,736.74
15_17,1,4,18.25,1094.96
15_18,7,4,28.76,1725.82
15_19,1,3,27.15,1628.99
15_2,6,8,25.64,1538.64
15_28,2,5,14.86,891.76
15_29,2,2,21.55,1292.82
15_30,6,4,10.67,640.24
15_33,1,8,10.79,647.31
15_37,2,4,10.88,652.52
15_39,11,5,13.91,834.63
15_4,2,8,20.72,1243.34
15_41,5,4,18.21,1092.76
15_46,7,1,19.86,1191.29
15_5,5,5,41.17,2470.33
15_8,5,3,38.83,2330.63
16_1,5,7,18.01,1080.38
16_10,10,6,19.74,1184.22
16_17,8,4,28.96,1737.44
16_18,2,6,23.55,1413.28
16_2,5,6,20.4,1223.92
16_20,8,1,32.18,1930.9
16_23,2,7,21.51,1290.49
16_26,6,7,16.27,976.34
16_27,9,7,13.76,825.36
16_28,1,7,18.28,1096.7
16_3,8,3,41.14,2468.4
16_35,1,1,21.19,1271.4
16_39,7,6,11.76,705.71
16_40,1,3,27.88,1672.54
16_42,2,1,15.84,950.65
16_44,1,6,18.58,1114.81
17_10,6,4,14.63,877.54
17_11,2,3,12.73,764.06
17_14,7,8,10.41,624.39
17_15,6,2,15.7,942.04
